pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,date
64.0,19200.0,-74.7,-92.5,315.0,13.0,9.19238815542512,-9.192388155425116,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
61.0,19483.0,-71.0,-92.3,330.0,8.0,4.0000000000000036,-6.928203230275507,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
58.0,19779.0,-67.1,-92.1,35.0,4.0,-2.294305745404184,-3.276608177155967,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
55.0,20102.0,-66.3,-93.8,270.0,2.0,2.0,3.6739403974420594e-16,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
52.0,20442.0,-65.5,-95.6,210.0,11.0,5.500000000000001,9.526279441628825,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
50.0,20680.0,-64.9,-96.9,250.0,10.0,9.396926207859085,3.4202014332566852,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
47.0,21056.0,-64.7,-96.7,325.0,3.0,1.7207293090531395,-2.457456132866975,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
46.6,21108.0,-64.7,-96.7,350.0,5.0,0.868240888334652,-4.92403876506104,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
45.0,21323.0,-61.4,-94.8,90.0,11.0,-11.0,-6.735557395310443e-16,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
44.4,21405.0,-60.1,-94.1,106.0,11.0,-10.573878655321508,3.0320109139869897,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
43.0,21604.0,-60.7,-94.4,145.0,11.0,-6.309340799861506,9.010672487178912,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
39.0,22207.0,-62.5,-95.5,140.0,10.0,-6.427876096865395,7.660444431189779,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
38.9,22223.0,-62.5,-95.5,139.0,10.0,-6.560590289905073,7.54709580222772,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
37.0,22532.0,-60.7,-93.7,116.0,19.0,-17.07708687968417,8.329051788992473,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
35.0,22875.0,-61.9,-94.9,90.0,29.0,-29.0,-1.7757378587636622e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
34.0,23054.0,-62.5,-95.5,85.0,31.0,-30.882035640844112,-2.7018280251774023,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
32.0,23429.0,-59.9,-93.9,75.0,34.0,-32.84147809382832,-8.799847533485705,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
31.0,23626.0,-60.1,-94.1,80.0,47.0,-46.28596439157378,-8.16146435034573,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
30.0,23830.0,-60.3,-94.3,80.0,52.0,-51.21000315663482,-9.029705238680382,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
29.0,24041.0,-61.7,-94.7,80.0,57.0,-56.134041921695854,-9.897946127015034,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
26.4,24625.0,-61.3,-94.3,81.0,55.0,-54.32285873273258,-8.6038955772127,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
24.3,25148.0,-55.5,-90.5,82.0,54.0,-53.4744757120448,-7.515347451843535,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
22.7,25585.0,-53.3,-88.3,83.0,52.0,-51.612399885348744,-6.337205857067669,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
20.1,26368.0,-54.9,-89.9,85.0,50.0,-49.80973490458728,-4.357787137382907,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
20.0,26400.0,-54.9,-89.9,85.0,50.0,-49.80973490458728,-4.357787137382907,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
15.0,28277.0,-47.8,-84.3,95.0,57.0,-56.783097791229494,4.967877336616519,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
13.8,28821.0,-45.7,-82.7,92.0,65.0,-64.96040375624122,2.2684672856625623,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
13.0,29222.0,-44.0,-81.8,90.0,71.0,-71.0,-4.347496136973104e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
12.7,29378.0,-43.3,-81.5,90.0,71.0,-71.0,-4.347496136973104e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
12.0,29759.0,-41.7,-80.7,,,,,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
1011.0,2.0,25.8,25.1,270.0,1.0,1.0,1.8369701987210297e-16,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
1000.0,131.0,27.0,26.4,195.0,5.0,1.294095225512604,4.8296291314453415,96147,96147,2025-06-01,3.95,108.38,2.0,59.26,2025-06-01
